ประทับเวลา,1. ตรวจเช็คการทำงานของพัดลม   ,2. ตรวจเช็คระบบปั๊มน้ำ       ,3. ตรวจเช็คระบบเดรน       ,4. ตรวจเช็คการสั่นสะเทือนของตัว EVAP,5. ตรวจเช็คคราบนํ้าหยดในไลน์ผลิต,หมายเหตุ : กรณีพบสิ่งผิดปกติให้ระบุรายละเอียด,ชื่อผู้ตรวจเช็ค
"24/10/2024, 8:41:54",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,,,Boss 
"25/10/2024, 8:27:52",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,,,Boss
"29/10/2024, 8:33:14",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,,,Boss
"30/10/2024, 8:31:31",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,,เสียยังไม่ซ้อม,Boss
"31/10/2024, 8:48:29",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,,เสียยังไมาซ่อม,Boss
"2/11/2024, 7:43:54",ปกติ,ปกติ,ปกติ,ปกติ,,,อลงกรณ์
"3/11/2024, 7:40:38",ปกติ,ปกติ,ปกติ,ปกติ,,,อลงกรณ์
"5/11/2024, 7:16:59",ปกติ,ปกติ,ปกติ,ปกติ,,,อลงกรณ์
"6/11/2024, 7:39:02",ปกติ,ปกติ,ปกติ,ปกติ,,,อลงกรณ์
"7/11/2024, 7:10:48",ปกติ,ปกติ,ปกติ,ปกติ,,,อลงกรณ์
"8/11/2024, 7:47:37",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,อลงกรณ์
"8/11/2024, 7:54:30",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,รอเปลี่ยนมอเตอร์,อลงกรณ์
"11/11/2024, 7:43:11",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,เสียรอซ้อม,Boss
"12/11/2024, 7:01:45",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,เสียรอซ่อม,Boss
"13/11/2024, 7:37:46",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,เสียรอซ่อม,Boss
"14/11/2024, 6:52:38",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,เสียรอซ้อม,Boss
"15/11/2024, 7:00:01",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,,Boss
"17/11/2024, 13:38:53",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ระอะไหล่,อลงกรณ์
"21/11/2024, 7:48:53",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ไม่มีมอเตอร์,F
"22/11/2024, 7:46:07",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,F
"23/11/2024, 7:48:38",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,F
"6/12/2024, 8:15:41",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,moter ปั่มน้ำ ลูกลอย เสีย,ณรงค์ศักดิ์ ศรีพงษ์ชู
"7/12/2024, 7:47:31",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ปกติ,moter เสีย ปั้ม เสีย ลูกลอย เสีย รอซ่อม,ณรงค์ศักดิ์ ศรีพงษ์ชู
"8/12/2024, 8:15:22",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ปกติ,เบอร์5 เสีย มอเตอร์เสีย ปั้มน้ำเสีย ลูกลอยเสีย รอซ่อม,ณรงค์ศักดิ์ ศรีพงษ์ชู
"9/12/2024, 7:35:37",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,เสียรอซ่อม,Boss
"11/12/2024, 7:01:51",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,รออะไหล่,boss
"12/12/2024, 7:24:45",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,,Boss
"13/12/2024, 7:07:26",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,,boss
"14/12/2024, 6:52:28",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,,Boss
"15/12/2024, 8:05:04",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,,Boss
